0	0	False	GenericCell	G1	[18.503444808655907, 1.1464121666241027, -12.180682632177842]	10.0
0	1	False	GenericCell	G1	[-9.411874787686546, 1.5132296493570117, -3.7832523781134952]	10.0
0	2	False	GenericCell	G1	[1.9918081351736205, 15.624396942392714, 19.090195158674817]	10.0
0	3	False	GenericCell	G1	[2.880193132135979, -0.7501320791495232, 16.99027571548843]	10.0
1	0	False	GenericCell	G1	[15.87238322573813, 5.278882568519801, -13.180784289185866]	10.259921
1	1	False	GenericCell	G1	[-11.775725357118322, 1.7520408628765074, 0.6161998252516483]	10.216600833333333
1	2	False	GenericCell	G1	[-1.7963235610137547, 18.79914029655396, 19.84588218883317]	10.216600833333333
1	3	False	GenericCell	G1	[6.814020281281346, -2.3660220509052676, 14.360845442629678]	10.259921
2	0	False	GenericCell	G1	[13.573860873094928, 4.965723218692308, -8.751481159345328]	10.519842
2	1	False	GenericCell	G1	[-8.210729772181626, 5.072341170693691, 1.741549702085951]	10.433201666666665
2	2	False	GenericCell	G1	[2.4455370266161918, 16.959846699087734, 17.942301925899276]	10.433201666666665
2	3	False	GenericCell	G1	[10.975032965719794, -1.408390072604645, 11.759131693179448]	10.519842
3	0	False	GenericCell	G1	[16.200475485716247, 1.9188651937183798, -11.72091744463857]	10.779763
3	1	False	GenericCell	G1	[-6.443204629321771, 0.8077654495278965, 3.6622914306380983]	10.649802499999998
3	2	False	GenericCell	G1	[5.722503888022797, 20.23260900896478, 19.826582969770172]	10.649802499999998
3	3	False	GenericCell	G1	[9.43269623378983, -4.978992355052261, 14.901105077204123]	10.779763
4	0	False	GenericCell	G1	[13.991059937277177, 0.2577470407288307, -7.554483787885558]	11.039684000000001
4	1	False	GenericCell	G1	[-6.07609449227209, -2.053489496498294, -0.4216344111367034]	10.86640333333333
4	2	False	GenericCell	G1	[9.353973343878225, 17.85592574061419, 17.343881571468025]	10.86640333333333
4	3	False	GenericCell	G1	[5.658964668288993, -6.846155447302878, 17.59789058192631]	11.039684000000001
5	0	False	GenericCell	G1	[15.896107009353944, 0.6972056571456475, -12.156404232398778]	11.299605000000001
5	1	False	GenericCell	G1	[-2.9023749215725587, -2.9703750471976305, -4.174876339587033]	11.083004166666663
5	2	False	GenericCell	G1	[6.020684080889708, 14.424687408847893, 18.798455804659]	11.083004166666663
5	3	False	GenericCell	G1	[3.2931463651372748, -3.9013838061063355, 14.322035924332823]	11.299605000000001
6	0	False	GenericCell	G1	[15.788990695280338, -2.7971901689722047, -15.730998461912026]	11.559526000000002
6	1	False	GenericCell	G1	[0.6521315928485532, -6.474053847290892, -3.8753461996763345]	11.299604999999996
6	2	False	GenericCell	G1	[8.061808661085223, 12.253379097180407, 14.783579634239125]	11.299604999999996
6	3	False	GenericCell	G1	[-0.12132538270988169, -6.64399298181662, 16.7343952658206]	11.559526000000002
7	0	False	GenericCell	G1	[12.79361694616097, 0.038231944819594244, -18.557324264028093]	11.819447000000002
7	1	False	GenericCell	G1	[-2.756562865104695, -9.996762586406192, -2.889787864680634]	11.516205833333329
7	2	False	GenericCell	G1	[12.431031926274624, 12.410966004697059, 17.209492745936863]	11.516205833333329
7	3	False	GenericCell	G1	[-1.32700083464488, -8.14797813311476, 12.12089601153692]	11.819447000000002
8	0	False	GenericCell	G1	[9.139765848718977, -1.4829759037135908, -21.612696391819235]	12.079368000000002
8	1	False	GenericCell	G1	[-5.776427076287496, -6.673212047061442, -0.691053692835728]	11.732806666666661
8	2	False	GenericCell	G1	[9.424539597375519, 14.090156955814187, 13.584396660871366]	11.732806666666661
8	3	False	GenericCell	G1	[-1.828045367188341, -3.771651383830239, 14.486634492414526]	12.079368000000002
9	0	False	GenericCell	G1	[6.0389546402844125, -2.1573267235778664, -17.74873199998085]	12.339289000000003
9	1	False	GenericCell	G1	[-8.352385614123452, -3.492568617644804, 2.1808698761783947]	11.949407499999994
9	2	False	GenericCell	G1	[10.753457434020863, 17.908544192266106, 16.526147210450127]	11.949407499999994
9	3	False	GenericCell	G1	[2.144619384427189, -6.801275707841532, 14.288363902990282]	12.339289000000003
10	0	False	GenericCell	S	[1.9674971396116065, -5.056191395567557, -17.60795759284216]	12.599210000000003
10	1	False	GenericCell	G1	[-4.107504273929685, -5.284495801400082, 0.2392264032942406]	12.166008333333327
10	2	False	GenericCell	G1	[14.332779247035566, 14.423349628701736, 16.730779106738318]	12.166008333333327
10	3	False	GenericCell	S	[5.1649854753392646, -9.463578680362811, 11.323649488519157]	12.599210000000003
11	0	False	GenericCell	S	[-1.0246138870231891, -1.1166182702511023, -18.33392948938831]	12.599210000000003
11	1	False	GenericCell	G1	[-0.2549252030810871, -6.562905319458808, 3.1586961508676272]	12.38260916666666
11	2	False	GenericCell	G1	[16.483491096159057, 18.823995241036357, 15.72641028171443]	12.38260916666666
11	3	False	GenericCell	S	[0.6671402396402986, -9.848099762765825, 9.17387466940723]	12.599210000000003
12	0	False	GenericCell	S	[-5.402478040356412, -1.235219723590629, -15.921412308055558]	12.599210000000003
12	1	False	GenericCell	S	[-2.7163741202048897, -2.211614029881491, 3.0719013259145767]	12.599209999999992
12	2	False	GenericCell	S	[20.645451124910657, 20.975053665720438, 17.473131888802865]	12.599209999999992
12	3	False	GenericCell	S	[2.1458800222299055, -12.710757602424701, 12.997291825359012]	12.599210000000003
13	0	False	GenericCell	S	[-9.747259728511722, -1.0051884129690194, -13.457683898022504]	12.599210000000003
13	1	False	GenericCell	S	[0.15312489115111072, -3.772612790573413, -0.7134993520778092]	12.599209999999992
